county_name,FIPS,state,threshold,total_events,number_of_compound_events,frequency_count_Percentiles_precip,frequency_count_Percentiles_discharge,frequency_count_Percentiles_soil_moisture,frequency_count_surge_percentiles,frequency_count_waveHs_percentiles,compound_loss_property_damage,compound_loss_crop_damage,compound_loss_injuries,compound_loss_fatalities,percentage_CE,loss_percentage_compound_property_damage,loss_percentage_compound_crop_damage,loss_percentage_compound_injuries,loss_percentage_compound_fatalities,number_of_compound_events_sum,percentage_contribution_precip,percentage_contribution_discharge,percentage_contribution_moisture,percentage_contribution_surge,percentage_contribution_waveHs
Accomack_County,51001,VA,0.99,23,15,10,11,7,10,10,45073993.86,0,0,0,65.22,97.27,0,0,0,15,66.67,73.33,46.67,66.67,66.67
Alexandria_city,51510,VA,0.99,17,7,6,6,2,4,2,5504061.71,1844417.92,0,0,41.18,75.26,99.7,0,0,7,85.71,85.71,28.57,57.14,28.57
Anne_Arundel_County,24003,MD,0.99,37,18,15,18,17,1,1,3838684.47,0,0,1,48.65,29.19,0,0,50,18,83.33,100,94.44,5.56,5.56
Aransas_County,48007,TX,0.99,20,5,5,4,4,1,2,210272728.2,14455.3,0,0,25,98.09,67.6,0,0,5,100,80,80,20,40
Arlington_County,51013,VA,0.99,19,11,7,11,4,5,6,6596562.7,1849992.47,0,0,57.89,62.11,100,0,0,11,63.64,100,36.36,45.45,54.55
Atlantic_County,34001,NJ,0.99,28,19,13,11,9,13,13,548097565.8,0,16.67,0,67.86,91.93,0,100,0,19,68.42,57.89,47.37,68.42,68.42
Baldwin_County,1003,AL,0.99,48,28,24,15,21,9,7,48261725.03,5675456.55,7.67,2,58.33,94.9,100,97.21,66.67,28,85.71,53.57,75,32.14,25
Baltimore_city,24510,MD,0.99,21,8,4,6,6,4,4,4072905.44,0,0,0,38.1,41.57,0,0,0,8,50,75,75,50,50
Baltimore_County,24005,MD,0.99,42,18,17,17,15,2,2,4390780.63,0,0,2,42.86,21.48,0,0,50,18,94.44,94.44,83.33,11.11,11.11
Barnstable_County,25001,MA,0.99,48,19,12,11,7,16,15,24017014.71,95912.11,0.07,0,39.58,94.02,43.47,100,0,19,63.16,57.89,36.84,84.21,78.95
Bay_County,12005,FL,0.99,31,22,12,14,16,9,10,782793876.5,0,0,6,70.97,97.94,0,0,100,22,54.55,63.64,72.73,40.91,45.45
Beaufort_County,37013,NC,0.99,13,11,11,8,11,2,2,93150301.46,65779678.4,0,0.14,84.62,99.99,100,0,100,11,100,72.73,100,18.18,18.18
Beaufort_County,45013,SC,0.99,34,10,8,9,8,2,2,23920777.81,48981.63,0,0,29.41,97.97,9.02,0,0,10,80,90,80,20,20
Bergen_County,34003,NJ,0.99,11,9,7,7,8,2,2,94787089.12,0,0,4,81.82,99.23,0,0,94.56,9,77.78,77.78,88.89,22.22,22.22
Bertie_County,37015,NC,0.99,11,7,7,6,6,1,1,10693550.38,1232522.03,0,1.14,63.64,99.6,97.71,0,100,7,100,85.71,85.71,14.29,14.29
Brazoria_County,48039,TX,0.99,67,23,14,12,18,7,7,3296857753,146650.61,0,0,34.33,99.66,1.89,0,0,23,60.87,52.17,78.26,30.43,30.43
Brevard_County,12009,FL,0.99,18,8,6,7,7,4,4,145525693.4,0,0,1,44.44,99.64,0,0,100,8,75,87.5,87.5,50,50
Bristol_County,25005,MA,0.99,76,28,25,23,20,8,8,49874264.54,220625.53,2.07,0,36.84,75.85,100,100,0,28,89.29,82.14,71.43,28.57,28.57
